"","gender","age","job","account","YearlyIncome","YearlyOutcome","transaction_type","yearly_deposit_transactions","yearly_withdrawl_transactions","average_deposit_ammount","average_withdrawl_ammount","transaction_amount","weekly_deposits","weekly_withdrawls","weekly_amount","observed_weekly_amount","flag"
"","Male","28","Employee","Saving","1956603","0","Withdrawl","30","688","65220","0","0","1","10","3130564","3132922","Normal"
"1","Female","18","Student","Saving","669251","489641","Deposit","27","136","24787","3600","335597","0","4","1189779","1190122","dep_Suspicious"
"11","Male","52","Private Business","Current","50066699","3687287","Deposit","3572","1899","14016","1941","621195","71","31","672788","672992","dep_Suspicious"
"12","Female","28","Employee","Saving","1955322","0","Withdrawl","44","775","44439","0","0","0","18","2133078","2130959","Normal"
"13","Female","59","Employee","Saving","1866469","0","Withdrawl","27","686","69128","0","0","1","14","3318167","3317850","Normal"
"14","Male","52","Private Business","Current","49976330","3548499","Deposit","3608","1828","13851","1941","556004","81","40","664873","665476","dep_Suspicious"
"15","Female","40","House Wife","Saving","49976330","3548499","Deposit","29","346","1723321","10255","25353","1","15","82719442","82718917","Normal"
"16","Female","52","Employee","Saving","2028570","0","Deposit","31","734","65437","0","1165057","0","18","3141011","3139636","dep_Suspicious"
"17","Female","23","Private Business","Current","50041567","3488154","Withdrawl","3539","1850","14140","1885","62494","70","38","678721","680014","Normal"
"18","Female","28","Employee","Saving","1986379","0","Withdrawl","30","714","66212","0","0","0","12","3178206","3177429","Normal"
"19","Female","50","Employee","Saving","1922570","0","Withdrawl","33","727","58259","0","0","1","12","2796465","2796810","Normal"
"110","Male","27","Employee","Current","1919067","1074629","Deposit","147","834","13054","1288","765426","1","23","626634","628728","dep_Suspicious"
"111","Female","54","Employee","Current","1786376","944203","Withdrawl","137","741","13039","1274","90141","2","11","625883","627605","Normal"
"112","Female","60","House Wife","Saving","1786376","944203","Deposit","32","335","55824","2818","189267","1","2","2679564","2678769","dep_Suspicious"
"113","Male","42","Employee","Saving","2211562","0","Deposit","33","728","67017","0","283463","1","14","3216817","3217564","dep_Suspicious"
"114","Female","19","Student","Saving","811634","490376","Withdrawl","31","139","26181","3527","10842","0","2","1256723","1257493","Normal"
"115","Male","42","Employee","Saving","1886575","0","Withdrawl","34","675","55487","0","0","1","16","2663400","2663288","Normal"
"116","Male","59","Private Business","Current","50000884","3600128","Deposit","3566","1805","14021","1994","967529","66","33","673034","673135","dep_Suspicious"
"117","Male","39","Private Business","Current","49986399","3498846","Deposit","3653","1752","13683","1997","627766","87","42","656815","656739","dep_Suspicious"
"118","Female","53","Employee","Investment","5179078","966824","Withdrawl","1","1","5179078","966824","827920","0","0","248595744","248595026","Normal"
"119","Male","61","Private Business","Current","49937657","3586217","Deposit","3623","1744","13783","2056","280046","64","58","661608","661830","dep_Suspicious"
"120","Male","18","Private Business","Saving","49932689","40099753","Deposit","27","750","1849358","53466","851201","0","13","88769224","88769915","Normal"
"121","Male","58","Private Business","Current","50010915","3598663","Deposit","3582","1840","13961","1955","595500","84","40","670163","670340","smurf_suspicious"
"122","Male","47","Private Business","Current","50131308","3314075","Deposit","3536","1820","14177","1820","441607","71","26","680515","680673","dep_Suspicious"
"123","Male","23","Private Business","Current","49988321","3546788","Withdrawl","3606","1765","13862","2009","10761","96","42","665401","664358","Normal"
"124","Male","63","Employee","Current","1826792","789972","Withdrawl","120","793","15223","996","72479","3","14","730716","730619","Normal"
"125","Female","19","Student","Saving","630675","571036","Withdrawl","21","147","30032","3884","138091","2","2","1441542","1443098","Normal"
"126","Male","21","Student","Saving","837092","403817","Withdrawl","24","143","34878","2823","10495","0","3","1674184","1674991","Normal"
"127","Male","48","Employee","Saving","1987450","0","Withdrawl","33","731","60225","0","0","1","15","2890836","2890027","Normal"
"128","Male","19","Student","Saving","639183","491687","Withdrawl","23","148","27790","3322","172242","1","2","1333947","1333829","Normal"
"129","Male","27","Employee","Current","1957712","983552","Withdrawl","135","777","14501","1265","147652","4","19","696075","697560","Normal"
"130","Male","38","Private Business","Saving","50012663","40208241","Deposit","26","695","1923563","57853","272757","2","16","92331070","92330467","Normal"
"131","Female","38","Private Business","Saving","49795952","40176431","Withdrawl","33","715","1508968","56190","7468","0","14","72430475","72430480","Normal"
"132","Female","30","Private Business","Current","50026324","3706584","Deposit","3616","1839","13834","2015","714350","73","35","664066","664991","dep_Suspicious"
"133","Female","35","Private Business","Current","49974825","3472285","Withdrawl","3625","1688","13786","2057","173468","89","27","661735","663606","Normal"
"134","Female","22","Employee","Saving","2040941","0","Withdrawl","27","722","75590","0","0","1","17","3628339","3627543","Normal"
"135","Female","60","Private Business","Current","49948846","3508833","Withdrawl","3576","1802","13967","1947","122916","76","44","670454","670767","smurf_suspicious"
"136","Male","31","Private Business","Current","49919441","3544676","Deposit","3615","1860","13808","1905","464126","72","34","662830","662908","dep_Suspicious"
"137","Female","43","House Wife","Saving","49919441","3544676","Deposit","20","326","2495972","10873","2615551","0","7","119806658","119806896","Normal"
"138","Male","59","Employee","Current","1763143","794186","Withdrawl","177","798","9961","995","162087","1","21","478140","478243","Normal"
"139","Female","33","Employee","Saving","2104001","0","Withdrawl","27","704","77925","0","0","0","13","3740446","3741036","Normal"
"140","Female","54","Private Business","Saving","50164333","40091112","Withdrawl","29","678","1729804","59131","5928","0","16","83030620","83031668","Normal"
"141","Female","53","House Wife","Saving","50164333","40091112","Deposit","19","382","2640228","104950","3357389","0","7","126730946","126732299","Normal"
"142","Male","66","Retired","Current","800342","400802","Deposit","1037","372","771","1077","0","17","7","37045","35674","Normal"
"143","Male","23","Private Business","Current","49890546","3393748","Withdrawl","3618","1803","13789","1882","148115","84","32","661897","660078","Normal"
"144","Male","18","Student","Saving","883941","551627","Withdrawl","18","151","49107","3653","93623","1","8","2357176","2357085","Normal"
"145","Male","22","Private Business","Current","49878923","3384961","Deposit","3697","1796","13491","1884","1670298","86","43","647603","646881","dep_Suspicious"
"146","Female","21","Student","Saving","696482","451002","Deposit","29","133","24016","3390","584051","0","1","1152797","1152542","dep_Suspicious"
"147","Female","47","Private Business","Current","50017954","3440248","Withdrawl","3477","1771","14385","1942","22963","64","28","690498","691142","Normal"
"148","Female","42","Employee","Current","1869614","743998","Withdrawl","147","837","12718","888","41765","5","25","610486","610650","Normal"
"149","Male","26","Private Business","Current","50014940","3657175","Withdrawl","3718","1777","13452","2058","50804","90","37","645701","645898","Normal"
"150","Male","44","Private Business","Current","50038525","3417730","Withdrawl","3599","1828","13903","1869","23929","62","41","667365","666772","Normal"
"151","Female","51","Employee","Current","1955979","897447","Withdrawl","156","824","12538","1089","127167","3","14","601839","601029","Normal"
"152","Female","21","Student","Saving","661289","384265","Withdrawl","23","138","28751","2784","13763","0","5","1380081","1380527","Normal"
"153","Female","48","Private Business","Current","50096577","3614555","Withdrawl","3609","1848","13881","1955","45655","81","53","666288","667186","Normal"
"154","Male","33","Employee","Saving","1931476","0","Withdrawl","26","712","74287","0","0","2","13","3565801","3564616","Normal"
"155","Female","49","Employee","Current","1726624","1035547","Deposit","148","772","11666","1341","1094975","3","15","559986","557848","dep_Suspicious"
"156","Female","31","Private Business","Current","49988283","3490883","Withdrawl","3626","1865","13786","1871","31188","83","45","661731","662938","Normal"
"157","Male","32","Employee","Saving","1798010","0","Deposit","27","723","66592","0","401784","1","22","3196462","3195006","dep_Suspicious"
"158","Male","23","Private Business","Current","49956308","3485197","Withdrawl","3508","1817","14240","1918","221228","85","40","683552","682785","Normal"
"159","Male","22","Employee","Saving","2036800","0","Withdrawl","33","640","61721","0","0","1","13","2962618","2961617","Normal"
"160","Male","25","Employee","Current","1694596","929863","Withdrawl","136","829","12460","1121","83941","1","25","598092","598583","Normal"
"161","Female","41","Employee","Saving","2017010","0","Deposit","37","759","54513","0","338235","0","16","2616661","2616304","dep_Suspicious"
"162","Male","31","Employee","Current","1744336","1184647","Withdrawl","156","752","11181","1575","301047","4","22","536718","534226","Normal"
"163","Female","35","Private Business","Current","49930458","3490381","Withdrawl","3436","1763","14531","1979","44832","69","28","697515","699244","Normal"
"164","Male","47","Private Business","Current","50071675","3519497","Deposit","3427","1728","14610","2036","883984","63","37","701324","701831","dep_Suspicious"
"165","Male","21","Student","Saving","677645","631641","Deposit","27","143","25097","4417","1403694","0","7","1204702","1204980","dep_Suspicious"
"166","Male","25","Employee","Saving","2007867","0","Withdrawl","31","745","64769","0","0","1","13","3108955","3108698","Normal"
"167","Female","51","Employee","Saving","2011294","0","Withdrawl","41","692","49055","0","0","1","15","2354685","2355044","Normal"
"168","Male","19","Student","Saving","647505","432081","Withdrawl","21","152","30833","2842","73288","0","2","1480011","1479431","Normal"
